Altium Designer Pick and Place Locations
C:\Users\Kevin\Documents\Altium\LoraSMS\.\340-XXXXX-XXX(set in Prj Parameters)\Pick Place\340-XXXXX-XXX(set in Prj Parameters)_Pick_and_Place_Files.txt

========================================================================================================================
File Design Information:

Date:       23/10/19
Time:       11:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment         Layer       Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                                  
J2         "USB-C USB 2.0" TopLayer    GCT_USB4110-GF-A            2411.236      172.275       360      "CONN USB 2.0 TYPE-C R/A SMT"                                                                                
J1         CONSMA003.062   TopLayer    LINX_CONSMA003.062          910.000       4346.417      0        "CONN, SMA JACK, FEMALE, EDGE"                                                                               
U8         INA381          TopLayer    SON45P200X200X80-9N         1800.000      412.000       180      "LOW COST CURRENT SENSOR WITH COM"                                                                           
R34        4.02K           TopLayer    RESC1608X84N                1620.000      453.000       90       "RES, METAL FILM, 1/16W, .5%, 0603, SMD, 4.02K"                                                              
R33        100K            TopLayer    RESC1608X84N                1571.000      453.000       270      "RES,1/10W,1%,0603,100K OHM"                                                                                 
R32        0               TopLayer    RESC1005X40N_SHORT          1818.504      484.000       360      "RES, THICK FILM CHIP, 1/16W, 1%, RES0402, 0 OHM, ROHS, SHORT-IN-PAD!"                                       
R31        5.1             TopLayer    RESC1608X84N                1680.000      351.535       90       "RES, THICK FILM CHIP, SMT, 1/10W, 1%, 0603, 5.1 OHM"                                                        
R30        50m             TopLayer    RESC3216X84N                1800.000      215.000       180      "RES, THICK FILM, CURRENT SENSE, 1/2 W, 1%, RES1206, 0.05 OHMS"                                              
R29        10K             BottomLayer RESC1608X84N                1738.000      148.000       180      "RES, THICK FILM CHIP, SMT, 1/10W, 5%, 0603, 10K OHM"                                                        
R28        5.1             TopLayer    RESC1608X84N                1925.000      351.535       90       "RES, THICK FILM CHIP, SMT, 1/10W, 1%, 0603, 5.1 OHM"                                                        
Q1         MMBT3906        BottomLayer SOT95P240X115-3N            1613.000      193.000       90       TRANS,BJT,PNP,3906,SOT-23                                                                                    
R26        2.00K           TopLayer    RESC1608X84N                1335.000      390.000       180      "RES, 1/16W, 1%, 0603, 2.00K OHM"                                                                            
R27        0               TopLayer    RESC1005X40N_SHORT          2405.000      365.000       180      "RES, THICK FILM CHIP, 1/16W, 1%, RES0402, 0 OHM, ROHS, SHORT-IN-PAD!"                                       
C10        10µF            TopLayer    CAPC2013X140N               1637.000      600.567       90       "CAP, CER, 10UF, 16V, X5R, 0805"                                                                             
Y1         "16 MHz"        TopLayer    Crystal_2.5x2.0             1077.378      2682.079      230      "CRYSTAL 16.0000MHZ 8PF SMD"                                                                                 
U7         BQ29702DSER     TopLayer    SOTFL50P162X60-6N           2070.000      4115.000      270      "IC LITHIUM BATT PROTECT 6-SON"                                                                              
U6         N/A             TopLayer    RNS0007A                    1175.000      824.764       360      TPS61230ARNSR                                                                                                
U4         TPS630242YFFR   TopLayer    YFF0020AEBA                 1737.126      669.252       360      TPS630242YFFR                                                                                                
U3         MCP73812        TopLayer    SOT95P280X145-5N            1404.370      292.874       90       "IC LI-ION/LI-POLY CTRLR SOT23-5"                                                                            
